	division	esr	region	express	source	iso3166	osm_id	lat	lon	name	station_type_en	railway
17898	Самарское	637803	Самарская область	2024888.0	samar	RU-SAM	2014395312.0	53.37192535	50.34109497	Водинская	station	Куйбышевская
17899	Самарское	637814	Самарская область	2025775.0	samar	RU-SAM	2034720194.0	53.36294937	50.35762024	172 км	halt	Куйбышевская
17900	Самарское	637829	Самарская область	2025774.0	samar	RU-SAM	2034720195.0	53.33405685	50.32091522	176 км	halt	Куйбышевская
17901	Самарское	637833	Самарская область	2025773.0	samar	RU-SAM	2034720191.0	53.31639862	50.31635666	Ягодная	halt	Куйбышевская
17902	Самарское	637903	Самарская область	2024906.0	samar	RU-SAM	1621427484.0	53.30154037	50.30171204	Козелковская	station	Куйбышевская
17903	Самарское	637918	Самарская область	2025782.0	samar	RU-SAM	2034720190.0	53.28793716	50.3085022	Яблочная	halt	Куйбышевская
17904	Самарское	637922	Самарская область	2025781.0	samar	RU-SAM	2034720188.0	53.27062607	50.31719208	Дачная	halt	Куйбышевская
17905	Самарское	637937	Самарская область	2025780.0	samar	RU-SAM	2034720187.0	53.25647354	50.30587006	Вишневая	halt	Куйбышевская
17906	Самарское	637941	Самарская область	2025867.0	samar	RU-SAM				186 км		Куйбышевская
17907	Самарское	638003	Самарская область	2024798.0	samar	RU-SAM	2010191019.0	53.23360443	50.28784561	Средневолжская	station	Куйбышевская
17908	Самарское	638018	Самарская область	2025870.0	samar	RU-SAM				3 км		Куйбышевская
