from_esr;from_name;to_esr;to_name
25421;Сяньга;25506;Эссойла
25506;Эссойла;25603;Иматозеро
25603;Иматозеро;25703;Новые Пески
25703;Новые Пески;25718;Застава
25718;Застава;25737;ОП Хаутаваара
25737;ОП Хаутаваара;25807;Суоярви I
;;;
25807;Суоярви I;26301;Суоярви II
25807;Суоярви I;25811;ОП Паперо
25811;ОП Паперо;25900;Пийтсиеки
25900;Пийтсиеки;25915;ОП Няятяоя
25915;ОП Няятяоя;26000;Лоймола
26000;Лоймола;26104;Райконкоски
26104;Райконкоски;26119;ОП Ост. Пункт 346 км
26119;ОП Ост. Пункт 346 км;26208;Леппясюрья
26208;Леппясюрья;26212;ОП Суйстамо
26212;ОП Суйстамо;26227;ОП Алатту
26227;ОП Алатту;25120;Янисъярви
26301;Суоярви II;26335;ОП Ост. Пункт 22 км
26335;ОП Ост. Пункт 22 км;26405;Найстенъярви
26405;Найстенъярви;26413;ОП Ост. Пункт 35 км
26413;ОП Ост. Пункт 35 км;26509;Лахколамен
26509;Лахколамен;26513;ОП Ост. Пункт 55 км
26513;ОП Ост. Пункт 55 км;26617;ОП Тумасозеро
26617;ОП Тумасозеро;26706;Поросозеро
26706;Поросозеро;26809;Аконъярви
26809;Аконъярви;27107;Гимольская
26903;Петрогранит;27003;Суккозеро
27003;Суккозеро;27018;Брусничная
27018;Брусничная;27037;ОП Кангас
27018;Брусничная;27022;ОП Ост. Пункт 148 км
27022;ОП Ост. Пункт 148 км;27126;ОП Суун
27037;ОП Кангас;27408;Пенинга
27107;Гимольская;26903;Петрогранит
27111;ОП Ост. Пункт 170 км;27223;ОП Мотко
27126;ОП Суун;27111;ОП Ост. Пункт 170 км
27215;ОП Ост. пункт 197 км;27234;ОП Лендеры
27223;ОП Мотко;27215;ОП Ост. пункт 197 км
;;;
27408;Пенинга;27412;ОП Волома
27412;ОП Волома;27520;ОП Сонозеро
27516;ОП Сельга;27619;ОП Муезерка
